freq,component,flow_bucket,n,flow_score_mean,sh_ret_mean,ret_next1_mean,ret_next1_win,ret_next1_n,ret_next1_t,ret_next1_p,ret_next4_mean,ret_next4_win,ret_next4_n,ret_next4_t,ret_next4_p,alla_next1_mean,alla_next1_win,alla_next1_n,alla_next1_t,alla_next1_p,sh_ret_win,sh_ret_n,sh_ret_t,sh_ret_p
quarterly,ipo_yi,中性,12,-0.007367041333583552,0.001174386515115931,0.007106568041670021,0.45454545454545453,11,0.3435582732899589,0.7382923137389718,-0.045478403042895556,0.4,10,-0.9970366779289284,0.3447963849117062,0.00463056951651166,0.45454545454545453,11,0.16472205172786109,0.8724448515012154,0.5,12,0.04868001942258241,0.9620469343076556
quarterly,ipo_yi,流入,12,-0.09182600548328868,0.04663078167174763,0.0058233545191704135,0.5,12,0.28177750309106975,0.7833446566806498,0.09184597729115457,0.7272727272727273,11,1.1683069495124847,0.2697811740836464,0.019457658321938104,0.5833333333333334,12,0.6658452206465812,0.519229016897186,0.4166666666666667,12,1.2169888671040314,0.24907433021881398
quarterly,ipo_yi,大幅流入,13,-0.10741877648332535,-0.0028721417508020906,0.08003422581625132,0.6923076923076923,13,2.151103457170032,0.052539662947998875,0.18636964235514955,0.7692307692307693,13,2.271162366565526,0.04234901259361841,0.10271729482129072,0.9230769230769231,13,2.728901291615216,0.018303689995625195,0.5384615384615384,13,-0.08169277248439702,0.9362377979900789
annual,ipo_yi,大幅流出,3,-0.37519900745080087,0.011804731063169113,-0.04675242736640047,0.3333333333333333,3,-0.8099229408185363,0.5030282582303073,0.10732452328787656,0.6666666666666666,3,1.2276490871599302,0.3444606125265094,-0.05179463676186846,0.3333333333333333,3,-0.6688838993207625,0.5724393179416758,0.6666666666666666,3,0.13786444592176922,0.9029750539711914
annual,ipo_yi,流出,3,-0.3463457039214319,-0.13229716374031922,-0.01946348554428849,0.6666666666666666,3,-0.19010296258388087,0.8667751747504452,0.3805322127629637,1.0,2,,,-0.03577164596043747,0.6666666666666666,3,-0.295630202193403,0.7953808621724462,0.0,3,-2.5358656631547816,0.12663331111377119
annual,ipo_yi,中性,3,-0.3313561783108481,0.127584319922221,-0.07677057180369551,0.3333333333333333,3,-0.6769574890613391,0.5682359496560967,-0.020754940564370054,0.3333333333333333,3,-0.3010147825942503,0.7918140950095791,-0.04790687075445051,0.3333333333333333,3,-0.2897120266431108,0.7993105040818437,1.0,3,2.6342698944748433,0.11893769548336763
annual,ipo_yi,流入,3,-0.15079447023698964,-0.06162378964562598,0.1443076380793431,1.0,2,,,0.17887981951576945,1.0,2,,,0.1876713587267579,1.0,2,,,0.3333333333333333,3,-0.4818869233097882,0.6774647917880118
annual,ipo_yi,大幅流入,3,-0.5107913671955872,0.2290180278234212,0.07024999907600693,0.6666666666666666,3,0.9544106976319052,0.4406010177285935,0.06937701423713079,0.5,2,,,0.2310849981139186,1.0,3,2.7898001797842844,0.10805638045304222,1.0,3,1.503491052759748,0.27159769733516514
quarterly,m2_yoy,大幅流出,25,-0.15699677687028338,0.014876921546295638,0.006799356278311103,0.4583333333333333,24,0.41385602238259905,0.6828133706890883,0.020773813468818982,0.5909090909090909,22,0.7102696323548747,0.4853505222376122,0.02023050222278284,0.5416666666666666,24,0.9504845082093051,0.35174794959074596,0.48,25,1.033872454297576,0.31150188790651545
quarterly,m2_yoy,流出,25,-0.1914943946811226,0.03143725211584288,0.03345729394114813,0.68,25,1.4600067968321628,0.15725550791936185,0.05644531012603938,0.6,25,1.2995778377584206,0.2060907282871109,0.03452092121722325,0.64,25,1.3712083156363701,0.1829962607807002,0.6,25,1.1373496699374854,0.2666202045564497
