quarter,sh_ret,alla_ret,flow_score,flow_bucket,scissors,m2_yoy,amount_yoy,north_yi,rz_chg,ipo_yi,inc_capital,ret_next1,ret_next4,alla_next1
2000Q4,0.085498552216279,0.08192703778788024,-0.21283392446012184,中性,3.6999999999999993,12.3,0.978387933358482,,,,,0.018952706010242792,-0.2061783178689707,0.010178901631014314
2001Q1,0.018952706010242792,0.010178901631014314,-0.14863161852766718,流入,4.199999999999999,13.2,-0.4317942036867515,,,,,0.04981789352865307,-0.24085385334453502,0.04303032382803229
2001Q2,0.04981789352865307,0.04303032382803229,-0.30972183671295617,中性,0.5999999999999996,14.3,0.1641715973835005,,,,,-0.2043084197726901,-0.21878613850405004,-0.20160364122315522
2001Q3,-0.2043084197726901,-0.20160364122315522,-0.507589592583524,流出,-4.1,16.36,-0.3521564409447555,,,,,-0.06736824927884077,-0.10383162017307807,-0.07143616242564887
2001Q4,-0.06736824927884077,-0.07143616242564887,-0.4905587528214476,流出,-4.950000000000001,17.6,-0.21696915500954772,,,,,-0.025556950881880702,-0.17516529756599583,-0.023297544409155657
2002Q1,-0.025556950881880702,-0.023297544409155657,-0.5806322822346933,大幅流出,-4.300000000000001,14.4,0.03941730429730561,,,,,0.08033518194656186,-0.05818736147090994,0.08209641866196193
2002Q2,0.08033518194656186,0.08209641866196193,-0.4044854204271142,流出,-1.8999999999999986,14.7,-0.32668307721631684,,,,,-0.08722352554169521,-0.14239231743668335,-0.08811129079576852
2002Q3,-0.08722352554169521,-0.08811129079576852,-0.22786749323964275,中性,-0.5999999999999996,16.5,-0.2516226727719383,,,,,-0.14160435705714014,-0.13559342394939858,-0.14018078344339202
2002Q4,-0.14160435705714014,-0.14018078344339202,-0.1688336601680772,中性,0.019999999999999574,16.8,-0.2518533757704471,,,,,0.11263841891969517,0.10266975238168188,0.11322533660015344
2003Q1,0.11263841891969517,0.11322533660015344,0.022699948846549522,流入,1.6000000000000014,18.5,-0.1872010912976525,,,,,-0.016254705152597304,0.15295138682014428,-0.015122829072342858
2003Q2,-0.016254705152597304,-0.015122829072342858,-0.011494571731034372,流入,-0.6000000000000014,20.8,0.29998211129323016,,,,,-0.07998726803873946,-0.058452622568679904,-0.07940711071234374
2003Q3,-0.07998726803873946,-0.07940711071234374,-0.13170782518730298,流入,-2.1999999999999993,20.7,-0.07724135136773791,,,,,0.0950019785526357,0.021606087359133136,0.09548673653756468
2003Q4,0.0950019785526357,0.09548673653756468,-0.08642844152818434,流入,-0.9099999999999966,19.58,0.9129400959972989,,,,,0.16337462359155763,-0.15400215357731642,0.16402560149688328
2004Q1,0.16337462359155763,0.16402560149688328,0.03088157844893045,流入,1.0100000000000016,19.11,1.1996499483646188,,,,,-0.19663325530266884,-0.3217613685625419,-0.19581835024724836
2004Q2,-0.19663325530266884,-0.19581835024724836,-0.17366148195803266,中性,0.370000000000001,16.36,-0.22315836889151985,,,,,-0.0017596246896356416,-0.22743899562738257,-0.0024890372749670764
2004Q3,-0.0017596246896356416,-0.0024890372749670764,-0.29756751838028767,中性,0.09999999999999964,14.14,0.7528387947138335,,,,,-0.0932225961194243,-0.17261115486503892,-0.09213853540679162
2004Q4,-0.0932225961194243,-0.09213853540679162,-0.3621584313653503,流出,-1.0899999999999999,14.67,-0.1461315770187911,,,,,-0.06731959674566679,-0.08325253297286365,-0.06973623821483255
2005Q1,-0.06731959674566679,-0.06973623821483255,-0.5911629083807975,大幅流出,-3.8200000000000003,14.22,-0.6821769234968158,,,,,-0.08490936612158784,0.09909874064115895,-0.08431901555729615
2005Q2,-0.08490936612158784,-0.08431901555729615,-0.5448687713106823,大幅流出,-4.42,15.67,-0.32817650029090595,,,,,0.06908444332607422,0.5469999204394701,0.06490364537581317
2005Q3,0.06908444332607422,0.06490364537581317,-0.5459424450767197,大幅流出,-6.280000000000001,17.92,0.08128093618006194,,,,,0.0047100502416896894,0.5164440721555811,-0.0053618469094665056
2005Q4,0.0047100502416896894,-0.0053618469094665056,-0.5196210617613569,流出,-5.790000000000001,17.57,-0.2883311305764944,,,,,0.11820091520054565,1.30434336987762,0.14274002439094025
2006Q1,0.11820091520054565,0.14274002439094025,-0.6785567675620874,大幅流出,-6.090000000000002,18.76,0.9428564061021356,,,,,0.2880054224964279,1.4524341540250867,0.3978110830724788
2006Q2,0.2880054224964279,0.3978110830724788,-0.8651574161030664,大幅流出,-4.49,18.43,2.349019659533979,,,,,0.047968228889775144,1.284821114081895,0.024290347017116964
2006Q3,0.047968228889775144,0.024290347017116964,-0.21168023062597002,中性,-1.129999999999999,16.83,0.5249445304847664,,,,,0.5267275499536643,2.168354804545019,0.3183151516360203
